mode,type,delta,strategy,file
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9799999999999986,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MSE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MSE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,freq_weighted_cross,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,freq_weighted_cross,cc2_remove_meander
MCE,PrivilegeEscalate,1.0,freq_weighted_cross,cc2_remove_meander
MCE,ExploitRemoteService,-0.9800000000000004,freq_weighted_cross,cc2_remove_meander
